"policy_tenure","age_of_car","age_of_policyholder","area_cluster","model","is_claim"
1.08580489344951,0.471438280678702,0.281178592799432,"Low","M4","0"
0.19222087309199,0.508669917147762,0.314339224092236,"Low","M6","0"
0.538900096443034,0.307146121468854,0.323929420677419,"High","M1","0"
0.178576133265621,0.504547757089029,0.27859312796253,"Medium","M3","0"
0.381578948840977,0.264257320273358,0.224915821588339,"Low","M4","0"
0.506410673635851,0.511780280693615,0.299786886507438,"Low","M4","0"
0.71519367096777,0.0958180996345367,0.310636464972221,"Low","M1","0"
1.46259196800537,0.485884530563193,0.26544939201479,"Low","M4","0"
0.184344149522252,0.23187340019323,0.306248103583442,"Low","M6","0"
0.9290597383721,0.423715023608758,0.306879575652069,"Low","M8","0"
0.572394261263749,0.296586951907122,0.247805141287597,"High","M4","0"
1.06030948794519,0.225930095166331,0.268168790564767,"Medium","M3","0"
1.34189014609609,0.435416110602083,0.229794588255069,"Low","M4","0"
0.226872734441001,0.476419930655686,0.194278001045463,"Low","M6","0"
0.422957528899734,0.427499502310597,0.212770987150807,"High","M7","0"
0.537740253040769,0.264315224723089,0.210063565251905,"Medium","M1","0"
0.536825650088291,0.216172474692417,0.314478761947409,"High","M1","0"
0.623374775654362,0.0552896788700576,0.250533298326555,"High","M1","0"
0.215913496021581,0.00693329386213152,0.270195060017751,"Medium","M1","0"
1.07068119473013,0.54390112287423,0.31760727113176,"Low","M6","0"
0.484498627973848,0.254428449547429,0.307723474643131,"Low","M6","0"
-0.0431273059125944,0.295068919008925,0.307979184960954,"Low","M1","0"
0.0430996164467934,0.211073864209597,0.277884344687555,"Low","M1","0"
-0.0949068259777569,0.459111839432666,0.265240083119999,"Low","M3","0"
1.33456781999656,0.335190512160466,0.315006914184406,"Medium","M8","0"
0.245556481717694,0.306656812785192,0.293059792675462,"Low","M6","0"
0.970120328156144,0.172384691360062,0.295444448546552,"Medium","M1","0"
-0.286101288238214,-0.1252427029025,0.292147339986088,"High","M1","0"
0.121148134604482,0.375108127741514,0.276877243521988,"Low","M1","0"
1.92567261357502,0.564674057744231,0.256211748257324,"Low","M10","0"
0.709688036214544,0.420632905154743,0.26262958500771,"Low","M1","0"
0.222984654744685,0.41734786311436,0.208699504075824,"High","M4","0"
0.454428496773518,0.389549970996923,0.221752026407123,"Low","M4","0"
0.752499246271875,0.496525031767626,0.240388781558616,"Low","M4","0"
0.0823269434419602,0.252043485456075,0.333962082124898,"Low","M6","0"
1.40746848061063,0.600715987285707,0.188457809193176,"Low","M4","0"
1.34179650771838,0.540006097575486,0.197651344228487,"Low","M3","0"
1.2230868914449,0.395875990088662,0.306080139375727,"Low","M6","0"
1.14002142318903,0.256065295971555,0.284324282519547,"Medium","M1","0"
0.215567590885408,0.49748543142069,0.221426553506998,"High","M4","0"
